iter,alpha,trainMSE,testMSE
100,0.001,51.0561,52.03196
1000,0.001,6.06169,6.17827
10000,0.001,4.96857,4.96863
30000,0.001,4.89766,4.88231
50000,0.001,4.86627,4.84255
100,0.01,6.05644,6.17078
1000,0.01,4.9685,4.96853
10000,0.01,4.8338,4.79502
30000,0.01,4.82211,4.76732
50000,0.01,4.82205,4.76605
100,0.1,4.96779,4.96758
1000,0.1,4.83379,4.79499
10000,0.1,4.82205,4.76596
30000,0.1,4.82205,4.76596
50000,0.1,4.82205,4.76596
100,0.03,5.3626,5.395
200,0.03,5.06166,5.07394
300,0.03,4.98062,4.98302
500,0.03,4.93776,4.93026
1000,0.03,4.89764,4.8823
100,0.05,5.11988,5.13655
200,0.05,4.96818,4.96811
300,0.05,4.93772,4.9302
500,0.05,4.90863,4.89541
1000,0.05,4.86625,4.84253
100,0.07,5.02249,5.03082
200,0.07,4.94182,4.93529
300,0.07,4.91872,4.90729
500,0.07,4.88809,4.87061
1000,0.07,4.84801,4.81718
100,0.1,4.96779,4.96758
200,0.1,4.92146,4.91052
300,0.1,4.89761,4.88227
500,0.1,4.86623,4.8425
1000,0.1,4.83379,4.79499
100,0.14,4.94391,4.93843
200,0.14,4.9018,4.88735
300,0.14,4.87675,4.85629
500,0.14,4.84799,4.81715
1000,0.14,4.82614,4.78042
100,0.141,4.9814,4.97805
200,0.141,4.9018,4.88786
300,0.141,4.87632,4.8558
500,0.141,4.84764,4.81665
1000,0.141,4.82603,4.78018
1500,0.141,4.82268,4.7707
2000,0.141,4.82215,4.7677
2500,0.141,4.82207,4.76663
3000,0.141,4.82205,4.76622
