iter,alpha,trainMSE,testMSE
100,0.001,4.90414,4.83769
1000,0.001,4.84548,4.84648
10000,0.001,4.84976,4.8524
30000,0.001,4.89066,4.89263
50000,0.001,4.87969,4.84435
100,0.01,4.82231,4.77561
1000,0.01,4.82296,4.77711
10000,0.01,4.8228,4.77035
30000,0.01,4.82238,4.77202
50000,0.01,4.82252,4.77544
100,0.1,4.82218,4.77104
1000,0.1,4.82269,4.77062
10000,0.1,4.8226,4.76585
30000,0.1,4.82225,4.77119
50000,0.1,4.8222,4.76846
100,0.03,4.82271,4.77103
200,0.03,4.8225,4.76795
300,0.03,4.82224,4.77104
500,0.03,4.82226,4.77109
100,0.05,4.82218,4.77221
200,0.05,4.82209,4.7698
300,0.05,4.82216,4.76935
500,0.05,4.82213,4.77082
100,0.07,4.82226,4.76722
200,0.07,4.82231,4.7716
300,0.07,4.82221,4.77154
500,0.07,4.82223,4.76817
100,0.1,4.82224,4.77286
200,0.1,4.82217,4.76666
300,0.1,4.82239,4.77328
500,0.1,4.82218,4.76774
